"Saving Private Ryan","8.6","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","R","2h 49min","1998","Steven Spielberg","70000000","","481840909152012"
"Léon","8.6","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","R","1h 50min","1994","Luc Besson","115000000","","45501238"
"Interstellar","8.6","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","PG-13","2h 49min","2014","Christopher Nolan","165000000","","675020017"
"The Green Mile","8.5","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","R","3h 9min","1999","Frank Darabont","60000000","","286801374"
"American History X","8.5","A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.","R","1h 59min","1998","Tony Kaye","7500000","","23875127"
"Psycho","8.5","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","R","1h 49min","1960","Alfred Hitchcock","806947","","50000000312004"
"Once Upon a Time in the West","8.5","A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","PG-13","2h 44min","1968","Sergio Leone","5000000","",""
"City Lights","8.6","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","G","1h 27min","1931","Charles Chaplin","1500000","",""
"Casablanca","8.5","A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.","PG","1h 42min","1942","Michael Curtiz","950000","",""
"The Intouchables","8.5","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","R","1h 52min","2011","Olivier NakacheÉric Toledano","9500000","","426480871"
"Modern Times","8.5","The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","","Comedy","1936","Charles Chaplin","1500000","",""
"The Pianist","8.5","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","R","2h 30min","2002","Roman Polanski","35000000","","120072577"
"The Departed","8.5","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","R","2h 31min","2006","Martin Scorsese","90000000","","289847354"
"Terminator 2: Judgment Day","8.5","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","R","2h 17min","1991","James Cameron","102000000","","315000000"
"Raiders of the Lost Ark","8.5","Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.","PG","1h 55min","1981","Steven Spielberg","18000000","","389925971"
"Rear Window","8.5","A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.","PG","1h 52min","1954","Alfred Hitchcock","1000000","","36888916"
"Back to the Future","8.5","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","","Adventure","1985","Robert Zemeckis","19000000","","381109762"
"Whiplash","8.5","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","R","1h 47min","2014","Damien Chazelle","3300000","","48982041"
"Gladiator","8.5","When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","R","2h 35min","2000","Ridley Scott","103000000","","457640427282012"
"The Lion King","8.5","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","","Animation","1994","Roger AllersRob Minkoff","45000000","","987483777122013"
"The Prestige","8.5","After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.","PG-13","2h 10min","2006","Christopher Nolan","40000000","","10967631182007"
"Memento","8.5","A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.","R","1h 53min","2000","Christopher Nolan","9000000","","39723096"
"Apocalypse Now","8.5","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.","R","2h 27min","1979","Francis Ford Coppola","31500000","",""
"Alien","8.5","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.","R","1h 56min","1979","Ridley Scott","11000000","","203630630"
"The Great Dictator","8.5","Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.","","Comedy","1940","Charles Chaplin","2000000","","11000000311940"
"Nuovo Cinema Paradiso","8.5","A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.","R","2h 35min","1988","Giuseppe Tornatore","5000000","",""
"Sunset Blvd.","8.5","A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.","","Drama","1950","Billy Wilder","1752000","","5000000311960"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","8.5","An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","PG","1h 35min","1964","Stanley Kubrick","1800000","",""
"Hotaru no haka","8.5","A young boy and his little sister struggle to survive in Japan during World War II.","","Animation","1988","Isao Takahata","3700000","",""
"The Lives of Others","8.5","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","R","2h 17min","2006","Florian Henckel von Donnersmarck","2000000","","7735681912009"
"Paths of Glory","8.4","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","","Drama","1957","Stanley Kubrick","935000","",""
